Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE4250371798;4646;DE;DE2310070099;485352972;28;51665;-662306
DE;DE2050098407;3102;DE;DE2310125027;15150217;127;5420171;155273
DE;DE2030068830;6203;DE;DE2310152364;4149797;32;134164;30447
DE;DE4070329955;8130;DE;DE2310165329;10597831;57;517075;239796
FR;FR440352631;1310;DE;DE2310183130;3812470;19;247963;244374
FR;FR452194608;1310;DE;DE2310183130;1605540;10;159875;533
LV;LV000379363;2314;DE;DE2310183130;8156268;39;3137812;883174
AT;AT9110775059;4531;DE;DE2310188753;18200735;94;1503114;-2494842
DE;DE2310072306;4531;DE;DE2310188753;679418575;2431;61503052;101095034
DE;DE2310162912;2511;DE;DE2310198585;20395849;59;1043136;-19542
DE;DE2310164815;2561;DE;DE2310198585;2428135;27;1058738;-327164
DE;DE2310260248;7112;DE;DE2310198585;384324;6;6525;-702
DE;DE3150006057;2562;DE;DE2310198585;2307342;31;118516;6711
DE;DE2310217431;4636;DE;DE2310205895;835536;2;15782;-57977
DE;DE2310000106;2512;DE;DE2310232488;39442886;166;7948645;3890248
DE;DE2310082020;4752;DE;DE2310282555;4064718;32;229507;277939
DE;DE2011349600;4322;DE;DE2310298769;25350000;270;764000;241000
PL;PL570212410;3311;DE;DE2330008806;5598515;50;331369;578193
DE;DE2330058222;5320;DE;DE2330026573;1459446;39;15696;-26056
DE;DE2330063310;4212;DE;DE2330065235;17192098;97;984014;332389
DE;DE2330073478;4212;DE;DE2330065235;1171992;18;47681;-765
FR;FR402403414;2222;DE;DE2330066178;3720000;21;251621;33050
CZ;CZ25141678;4631;DE;DE2330109374;9731841;23;421393;35604
PL;PL771480589;4621;DE;DE2330109374;2550648;11;963522;13827
SK;SK31673929;4621;DE;DE2330109374;3312891;15;143268;77224
CZ;CZ25718193;4690;DE;DE2350006692;108864;3;1783;5194
PL;PL013215466;1020;DE;DE2350006692;93457078;500;17406850;7694523
DE;DE2090134979;7010;DE;DE2350060811;49183000;174;18191000;-2266000
DE;DE2350075830;3511;DE;DE2350060811;3289698;21;80190;120293
HU;HU14450202;4222;DE;DE2350060811;19999;1;1857;-63571
PL;PL320450445;7111;DE;DE2350060811;2174447;6;20901;-6069852
DE;DE2350006929;4743;DE;DE2350083489;181897120;822;8804591;11550539
DE;DE2350036345;311;DE;DE2350100102;48315032;50;3834490;15239491
DE;DE2350050983;2511;DE;DE2350146442;9960278;107;159302;627960
DE;DE3290100290;2511;DE;DE2350146442;24299767;186;2529346;602518
DE;DE3290133400;3311;DE;DE2350146442;21107554;137;788963;107019
DE;DE3350076519;3011;DE;DE2350146442;7157707;95;1470024;-283830
DE;DE2350097618;7010;DE;DE2350163415;49356581;280;3535648;5375349
FR;FR325695260;7420;DE;DE2370000802;45328545;146;5504253;33840
HU;HU12305412;7420;DE;DE2370000802;5555258;54;516872;458479
HU;HU14738296;4778;DE;DE2370000802;104189;2;13709;1662
SK;SK31395937;7420;DE;DE2370000802;7738625;75;426787;-27449
DE;DE2370154962;5222;DE;DE2370000956;37993388;152;1565647;47622
PL;PL211039059;4221;DE;DE2370004861;343581;26;138560;-58007
