Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
FR;FR556150183;7010;n.a.;WW*20441507;146200000;1;15624000;6896000
SK;SK30225582;4321;n.a.;WW*20441507;4803942;75;123993;590981
FR;FR562022384;7022;n.a.;WW*20442011;549725;2;6869;251411
FR;FR320303449;2790;n.a.;WW*20442034;3465972;19;59808;386338
FR;FR410906291;7112;n.a.;WW*20442034;4825376;1;109424;961647
FR;FR424499911;7112;n.a.;WW*20442034;19781546;1;1692440;1330655
FR;FR403147101;4333;n.a.;WW*20442116;8922338;39;76364;204031
FR;FR423249531;4333;n.a.;WW*20442116;4655476;37;34176;224387
FR;FR777725730;4333;n.a.;WW*20442116;7748490;69;58643;56563
FR;FR311336994;9200;n.a.;WW*20443532;4445300;41;894277;-165863
FR;FR480093194;1071;n.a.;WW*20443532;1140000;1;50526;46109
FR;FR428186134;2550;n.a.;WW*20444934;1640185;1;15554;13468
FR;FR349050021;1013;n.a.;WW*20445053;30490423;138;2046162;1325185
FR;FR514920172;4632;n.a.;WW*20445053;1995714;10;151656;122427
FR;FR319187845;4644;n.a.;WW*20445602;5220000;28;35413;-20752
FR;FR377973227;4669;n.a.;WW*20446976;2657000;7;5981;-78468
FR;FR639800192;6820;n.a.;WW*20449251;52862;1;42129;-5678
FR;FR402267629;4669;n.a.;WW*20450900;139384;1;52;5894
FR;FR399011857;4730;n.a.;WW*20451421;14117000;1;101306;4225
FR;FR305728859;4634;n.a.;WW*20452398;24497219;62;579443;1163547
FR;FR752270405;2511;n.a.;WW*20454384;10763606;1;1959873;238613
GB;GB03340923;6420;n.a.;WW*204558320;1027212;3;372426204;-9465796
GB;GBSC128992;9609;n.a.;WW*204558320;1;1;1;-329259
FR;FR706780145;4669;n.a.;WW*20457762;1435997;6;169;31192
FR;FR393436001;4673;n.a.;WW*20462400;15890644;75;382962;-155472
FR;FR794622464;7010;n.a.;WW*20463376;1216752;1;1;241767
FR;FR343329389;4648;n.a.;WW*20464099;3189529;24;8204;82475
FR;FR339797300;4519;n.a.;WW*20464302;10793081;19;371609;-383723
FR;FR453543563;6810;n.a.;WW*20466994;1;1;1;-4379
FR;FR785428822;4399;n.a.;WW*20466994;6167669;27;17506;303457
FR;FR391594686;2441;n.a.;WW*20468157;1126813;16;94338;-201656
FR;FR429258957;4752;n.a.;WW*20468398;1040100;7;11074;-6661
FR;FR509593299;1392;n.a.;WW*20469437;3611937;1;252634;-48525
FR;FR380319368;4669;n.a.;WW*20469526;7285000;18;210531;50990
FR;FR448015057;4669;n.a.;WW*20469526;7285000;1;4;39400
FR;FR515069375;3511;n.a.;WW*20469526;62854;1;518672;-84252
FR;FR452944721;4771;n.a.;WW*20471637;263305;1;213386;-37228
FR;FR317600195;4322;n.a.;WW*20471817;2947868;1;75099;116150
FR;FR341738078;4322;n.a.;WW*20471817;1368720;1;31499;-24938
FR;FR345322341;3320;n.a.;WW*20471817;645031;1;15515;26051
FR;FR347910127;3320;n.a.;WW*20471817;1540518;1;43093;42664
FR;FR394961981;4322;n.a.;WW*20471817;990389;1;2780;13403
FR;FR394650410;4321;n.a.;WW*20472552;20000000;75;2900;772881
FR;FR379750508;4321;n.a.;WW*20473641;8277640;41;48898;286903
FR;FR421184219;1310;n.a.;WW*20474117;3086000;21;21096;202124
FR;FR392132262;6810;n.a.;WW*20474302;210000;1;847296;25219
FR;FR563750389;1629;n.a.;WW*20474499;750580;1;3320;5303
FR;FR793968371;4673;n.a.;WW*20476744;3220998;1;74334;-124252
FR;FR072806581;8610;n.a.;WW*20481069;4397761;1;482502;554473
FR;FR301919924;8710;n.a.;WW*20481069;4790395;51;4135570;466736
FR;FR337514285;5510;n.a.;WW*20481069;4123145;38;515455;717769
FR;FR636980641;8610;n.a.;WW*20481069;7353805;85;1439649;1224643
FR;FR672041829;5510;n.a.;WW*20481069;1988695;1;2646794;297576
FR;FR424073112;4511;n.a.;WW*20487614;17237000;1;443077;920910
FR;FR479743387;4511;n.a.;WW*20487614;2416000;1;72119;325028
FR;FR492133525;4511;n.a.;WW*20487614;17237000;1;157999;7266
FR;FR402179436;4120;n.a.;WW*20493361;4036076;1;12067;419535
FR;FR799284369;8211;n.a.;WW*20499382;1607587;12;6733;79505
FR;FR434823712;4669;n.a.;WW*20500834;928945;3;70633;995
FR;FR307300426;2511;n.a.;WW*20502323;6915383;40;180015;2925
FR;FR307106757;2529;n.a.;WW*20502393;5716371;1;278568;327770
